Layer(type),Depth,Width,Height,Param#
Conv2d-1,32,257,257,864
BatchNorm2d-2,32,257,257,64
ReLU-3,32,257,257,0
Conv2d-4,64,257,257,18,432
BatchNorm2d-5,64,257,257,128
ReLU-6,64,257,257,0
Conv2d-7,64,257,257,576
BatchNorm2d-8,64,257,257,128
Conv2d-9,128,257,257,8,192
SeparableConv2d-10,128,257,257,0
BatchNorm2d-11,128,257,257,256
ReLU-12,128,257,257,0
ReLU-13,128,257,257,0
Conv2d-14,128,257,257,1,152
BatchNorm2d-15,128,257,257,256
Conv2d-16,128,257,257,16,384
SeparableConv2d-17,128,257,257,0
BatchNorm2d-18,128,257,257,256
ReLU-19,128,257,257,0
ReLU-20,128,257,257,0
Conv2d-21,128,129,129,1,152
BatchNorm2d-22,128,129,129,256
Conv2d-23,128,129,129,16,384
SeparableConv2d-24,128,129,129,0
BatchNorm2d-25,128,129,129,256
Conv2d-26,128,129,129,8,192
BatchNorm2d-27,128,129,129,256
Block-28,128,129,129,0
ReLU-29,128,129,129,0
Conv2d-30,128,129,129,1,152
BatchNorm2d-31,128,129,129,256
Conv2d-32,256,129,129,32,768
SeparableConv2d-33,256,129,129,0
BatchNorm2d-34,256,129,129,512
ReLU-35,256,129,129,0
ReLU-36,256,129,129,0
Conv2d-37,256,129,129,2,304
BatchNorm2d-38,256,129,129,512
Conv2d-39,256,129,129,65,536
SeparableConv2d-40,256,129,129,0
BatchNorm2d-41,256,129,129,512
ReLU-42,256,129,129,0
ReLU-43,256,129,129,0
Conv2d-44,256,65,65,2,304
BatchNorm2d-45,256,65,65,512
Conv2d-46,256,65,65,65,536
SeparableConv2d-47,256,65,65,0
BatchNorm2d-48,256,65,65,512
Conv2d-49,256,65,65,32,768
BatchNorm2d-50,256,65,65,512
Block-51,256,65,65,0
ReLU-52,256,65,65,0
ReLU-53,256,65,65,0
Conv2d-54,256,65,65,2,304
BatchNorm2d-55,256,65,65,512
Conv2d-56,728,65,65,186,368
SeparableConv2d-57,728,65,65,0
BatchNorm2d-58,728,65,65,1,456
ReLU-59,728,65,65,0
ReLU-60,728,65,65,0
Conv2d-61,728,65,65,6,552
BatchNorm2d-62,728,65,65,1,456
Conv2d-63,728,65,65,529,984
SeparableConv2d-64,728,65,65,0
BatchNorm2d-65,728,65,65,1,456
ReLU-66,728,65,65,0
ReLU-67,728,65,65,0
Conv2d-68,728,33,33,6,552
BatchNorm2d-69,728,33,33,1,456
Conv2d-70,728,33,33,529,984
SeparableConv2d-71,728,33,33,0
BatchNorm2d-72,728,33,33,1,456
Conv2d-73,728,33,33,186,368
BatchNorm2d-74,728,33,33,1,456
Block-75,728,33,33,0
ReLU-76,728,33,33,0
ReLU-77,728,33,33,0
Conv2d-78,728,33,33,6,552
BatchNorm2d-79,728,33,33,1,456
Conv2d-80,728,33,33,529,984
SeparableConv2d-81,728,33,33,0
BatchNorm2d-82,728,33,33,1,456
ReLU-83,728,33,33,0
ReLU-84,728,33,33,0
Conv2d-85,728,33,33,6,552
BatchNorm2d-86,728,33,33,1,456
Conv2d-87,728,33,33,529,984
SeparableConv2d-88,728,33,33,0
BatchNorm2d-89,728,33,33,1,456
ReLU-90,728,33,33,0
ReLU-91,728,33,33,0
Conv2d-92,728,33,33,6,552
BatchNorm2d-93,728,33,33,1,456
Conv2d-94,728,33,33,529,984
SeparableConv2d-95,728,33,33,0
BatchNorm2d-96,728,33,33,1,456
Block-97,728,33,33,0
ReLU-98,728,33,33,0
ReLU-99,728,33,33,0
Conv2d-100,728,33,33,6,552
BatchNorm2d-101,728,33,33,1,456
Conv2d-102,728,33,33,529,984
SeparableConv2d-103,728,33,33,0
BatchNorm2d-104,728,33,33,1,456
ReLU-105,728,33,33,0
ReLU-106,728,33,33,0
Conv2d-107,728,33,33,6,552
BatchNorm2d-108,728,33,33,1,456
Conv2d-109,728,33,33,529,984
SeparableConv2d-110,728,33,33,0
BatchNorm2d-111,728,33,33,1,456
ReLU-112,728,33,33,0
ReLU-113,728,33,33,0
Conv2d-114,728,33,33,6,552
BatchNorm2d-115,728,33,33,1,456
Conv2d-116,728,33,33,529,984
SeparableConv2d-117,728,33,33,0
BatchNorm2d-118,728,33,33,1,456
Block-119,728,33,33,0
ReLU-120,728,33,33,0
ReLU-121,728,33,33,0
Conv2d-122,728,33,33,6,552
BatchNorm2d-123,728,33,33,1,456
Conv2d-124,728,33,33,529,984
SeparableConv2d-125,728,33,33,0
BatchNorm2d-126,728,33,33,1,456
ReLU-127,728,33,33,0
ReLU-128,728,33,33,0
Conv2d-129,728,33,33,6,552
BatchNorm2d-130,728,33,33,1,456
Conv2d-131,728,33,33,529,984
SeparableConv2d-132,728,33,33,0
BatchNorm2d-133,728,33,33,1,456
ReLU-134,728,33,33,0
ReLU-135,728,33,33,0
Conv2d-136,728,33,33,6,552
BatchNorm2d-137,728,33,33,1,456
Conv2d-138,728,33,33,529,984
SeparableConv2d-139,728,33,33,0
BatchNorm2d-140,728,33,33,1,456
Block-141,728,33,33,0
ReLU-142,728,33,33,0
ReLU-143,728,33,33,0
Conv2d-144,728,33,33,6,552
BatchNorm2d-145,728,33,33,1,456
Conv2d-146,728,33,33,529,984
SeparableConv2d-147,728,33,33,0
BatchNorm2d-148,728,33,33,1,456
ReLU-149,728,33,33,0
ReLU-150,728,33,33,0
Conv2d-151,728,33,33,6,552
BatchNorm2d-152,728,33,33,1,456
Conv2d-153,728,33,33,529,984
SeparableConv2d-154,728,33,33,0
BatchNorm2d-155,728,33,33,1,456
ReLU-156,728,33,33,0
ReLU-157,728,33,33,0
Conv2d-158,728,33,33,6,552
BatchNorm2d-159,728,33,33,1,456
Conv2d-160,728,33,33,529,984
SeparableConv2d-161,728,33,33,0
BatchNorm2d-162,728,33,33,1,456
Block-163,728,33,33,0
ReLU-164,728,33,33,0
ReLU-165,728,33,33,0
Conv2d-166,728,33,33,6,552
BatchNorm2d-167,728,33,33,1,456
Conv2d-168,728,33,33,529,984
SeparableConv2d-169,728,33,33,0
BatchNorm2d-170,728,33,33,1,456
ReLU-171,728,33,33,0
ReLU-172,728,33,33,0
Conv2d-173,728,33,33,6,552
BatchNorm2d-174,728,33,33,1,456
Conv2d-175,728,33,33,529,984
SeparableConv2d-176,728,33,33,0
BatchNorm2d-177,728,33,33,1,456
ReLU-178,728,33,33,0
ReLU-179,728,33,33,0
Conv2d-180,728,33,33,6,552
BatchNorm2d-181,728,33,33,1,456
Conv2d-182,728,33,33,529,984
SeparableConv2d-183,728,33,33,0
BatchNorm2d-184,728,33,33,1,456
Block-185,728,33,33,0
ReLU-186,728,33,33,0
ReLU-187,728,33,33,0
Conv2d-188,728,33,33,6,552
BatchNorm2d-189,728,33,33,1,456
Conv2d-190,728,33,33,529,984
SeparableConv2d-191,728,33,33,0
BatchNorm2d-192,728,33,33,1,456
ReLU-193,728,33,33,0
ReLU-194,728,33,33,0
Conv2d-195,728,33,33,6,552
BatchNorm2d-196,728,33,33,1,456
Conv2d-197,728,33,33,529,984
SeparableConv2d-198,728,33,33,0
BatchNorm2d-199,728,33,33,1,456
ReLU-200,728,33,33,0
ReLU-201,728,33,33,0
Conv2d-202,728,33,33,6,552
BatchNorm2d-203,728,33,33,1,456
Conv2d-204,728,33,33,529,984
SeparableConv2d-205,728,33,33,0
BatchNorm2d-206,728,33,33,1,456
Block-207,728,33,33,0
ReLU-208,728,33,33,0
ReLU-209,728,33,33,0
Conv2d-210,728,33,33,6,552
BatchNorm2d-211,728,33,33,1,456
Conv2d-212,728,33,33,529,984
SeparableConv2d-213,728,33,33,0
BatchNorm2d-214,728,33,33,1,456
ReLU-215,728,33,33,0
ReLU-216,728,33,33,0
Conv2d-217,728,33,33,6,552
BatchNorm2d-218,728,33,33,1,456
Conv2d-219,728,33,33,529,984
SeparableConv2d-220,728,33,33,0
BatchNorm2d-221,728,33,33,1,456
ReLU-222,728,33,33,0
ReLU-223,728,33,33,0
Conv2d-224,728,33,33,6,552
BatchNorm2d-225,728,33,33,1,456
Conv2d-226,728,33,33,529,984
SeparableConv2d-227,728,33,33,0
BatchNorm2d-228,728,33,33,1,456
Block-229,728,33,33,0
ReLU-230,728,33,33,0
ReLU-231,728,33,33,0
Conv2d-232,728,33,33,6,552
BatchNorm2d-233,728,33,33,1,456
Conv2d-234,728,33,33,529,984
SeparableConv2d-235,728,33,33,0
BatchNorm2d-236,728,33,33,1,456
ReLU-237,728,33,33,0
ReLU-238,728,33,33,0
Conv2d-239,728,33,33,6,552
BatchNorm2d-240,728,33,33,1,456
Conv2d-241,728,33,33,529,984
SeparableConv2d-242,728,33,33,0
BatchNorm2d-243,728,33,33,1,456
ReLU-244,728,33,33,0
ReLU-245,728,33,33,0
Conv2d-246,728,33,33,6,552
BatchNorm2d-247,728,33,33,1,456
Conv2d-248,728,33,33,529,984
SeparableConv2d-249,728,33,33,0
BatchNorm2d-250,728,33,33,1,456
Block-251,728,33,33,0
ReLU-252,728,33,33,0
ReLU-253,728,33,33,0
Conv2d-254,728,33,33,6,552
BatchNorm2d-255,728,33,33,1,456
Conv2d-256,728,33,33,529,984
SeparableConv2d-257,728,33,33,0
BatchNorm2d-258,728,33,33,1,456
ReLU-259,728,33,33,0
ReLU-260,728,33,33,0
Conv2d-261,728,33,33,6,552
BatchNorm2d-262,728,33,33,1,456
Conv2d-263,728,33,33,529,984
SeparableConv2d-264,728,33,33,0
BatchNorm2d-265,728,33,33,1,456
ReLU-266,728,33,33,0
ReLU-267,728,33,33,0
Conv2d-268,728,33,33,6,552
BatchNorm2d-269,728,33,33,1,456
Conv2d-270,728,33,33,529,984
SeparableConv2d-271,728,33,33,0
BatchNorm2d-272,728,33,33,1,456
Block-273,728,33,33,0
ReLU-274,728,33,33,0
ReLU-275,728,33,33,0
Conv2d-276,728,33,33,6,552
BatchNorm2d-277,728,33,33,1,456
Conv2d-278,728,33,33,529,984
SeparableConv2d-279,728,33,33,0
BatchNorm2d-280,728,33,33,1,456
ReLU-281,728,33,33,0
ReLU-282,728,33,33,0
Conv2d-283,728,33,33,6,552
BatchNorm2d-284,728,33,33,1,456
Conv2d-285,728,33,33,529,984
SeparableConv2d-286,728,33,33,0
BatchNorm2d-287,728,33,33,1,456
ReLU-288,728,33,33,0
ReLU-289,728,33,33,0
Conv2d-290,728,33,33,6,552
BatchNorm2d-291,728,33,33,1,456
Conv2d-292,728,33,33,529,984
SeparableConv2d-293,728,33,33,0
BatchNorm2d-294,728,33,33,1,456
Block-295,728,33,33,0
ReLU-296,728,33,33,0
ReLU-297,728,33,33,0
Conv2d-298,728,33,33,6,552
BatchNorm2d-299,728,33,33,1,456
Conv2d-300,728,33,33,529,984
SeparableConv2d-301,728,33,33,0
BatchNorm2d-302,728,33,33,1,456
ReLU-303,728,33,33,0
ReLU-304,728,33,33,0
Conv2d-305,728,33,33,6,552
BatchNorm2d-306,728,33,33,1,456
Conv2d-307,728,33,33,529,984
SeparableConv2d-308,728,33,33,0
BatchNorm2d-309,728,33,33,1,456
ReLU-310,728,33,33,0
ReLU-311,728,33,33,0
Conv2d-312,728,33,33,6,552
BatchNorm2d-313,728,33,33,1,456
Conv2d-314,728,33,33,529,984
SeparableConv2d-315,728,33,33,0
BatchNorm2d-316,728,33,33,1,456
Block-317,728,33,33,0
ReLU-318,728,33,33,0
ReLU-319,728,33,33,0
Conv2d-320,728,33,33,6,552
BatchNorm2d-321,728,33,33,1,456
Conv2d-322,728,33,33,529,984
SeparableConv2d-323,728,33,33,0
BatchNorm2d-324,728,33,33,1,456
ReLU-325,728,33,33,0
ReLU-326,728,33,33,0
Conv2d-327,728,33,33,6,552
BatchNorm2d-328,728,33,33,1,456
Conv2d-329,728,33,33,529,984
SeparableConv2d-330,728,33,33,0
BatchNorm2d-331,728,33,33,1,456
ReLU-332,728,33,33,0
ReLU-333,728,33,33,0
Conv2d-334,728,33,33,6,552
BatchNorm2d-335,728,33,33,1,456
Conv2d-336,728,33,33,529,984
SeparableConv2d-337,728,33,33,0
BatchNorm2d-338,728,33,33,1,456
Block-339,728,33,33,0
ReLU-340,728,33,33,0
ReLU-341,728,33,33,0
Conv2d-342,728,33,33,6,552
BatchNorm2d-343,728,33,33,1,456
Conv2d-344,728,33,33,529,984
SeparableConv2d-345,728,33,33,0
BatchNorm2d-346,728,33,33,1,456
ReLU-347,728,33,33,0
ReLU-348,728,33,33,0
Conv2d-349,728,33,33,6,552
BatchNorm2d-350,728,33,33,1,456
Conv2d-351,728,33,33,529,984
SeparableConv2d-352,728,33,33,0
BatchNorm2d-353,728,33,33,1,456
ReLU-354,728,33,33,0
ReLU-355,728,33,33,0
Conv2d-356,728,33,33,6,552
BatchNorm2d-357,728,33,33,1,456
Conv2d-358,728,33,33,529,984
SeparableConv2d-359,728,33,33,0
BatchNorm2d-360,728,33,33,1,456
Block-361,728,33,33,0
ReLU-362,728,33,33,0
ReLU-363,728,33,33,0
Conv2d-364,728,33,33,6,552
BatchNorm2d-365,728,33,33,1,456
Conv2d-366,728,33,33,529,984
SeparableConv2d-367,728,33,33,0
BatchNorm2d-368,728,33,33,1,456
ReLU-369,728,33,33,0
ReLU-370,728,33,33,0
Conv2d-371,728,33,33,6,552
BatchNorm2d-372,728,33,33,1,456
Conv2d-373,728,33,33,529,984
SeparableConv2d-374,728,33,33,0
BatchNorm2d-375,728,33,33,1,456
ReLU-376,728,33,33,0
ReLU-377,728,33,33,0
Conv2d-378,728,33,33,6,552
BatchNorm2d-379,728,33,33,1,456
Conv2d-380,728,33,33,529,984
SeparableConv2d-381,728,33,33,0
BatchNorm2d-382,728,33,33,1,456
Block-383,728,33,33,0
ReLU-384,728,33,33,0
ReLU-385,728,33,33,0
Conv2d-386,728,33,33,6,552
BatchNorm2d-387,728,33,33,1,456
Conv2d-388,728,33,33,529,984
SeparableConv2d-389,728,33,33,0
BatchNorm2d-390,728,33,33,1,456
ReLU-391,728,33,33,0
ReLU-392,728,33,33,0
Conv2d-393,728,33,33,6,552
BatchNorm2d-394,728,33,33,1,456
Conv2d-395,728,33,33,529,984
SeparableConv2d-396,728,33,33,0
BatchNorm2d-397,728,33,33,1,456
ReLU-398,728,33,33,0
ReLU-399,728,33,33,0
Conv2d-400,728,33,33,6,552
BatchNorm2d-401,728,33,33,1,456
Conv2d-402,728,33,33,529,984
SeparableConv2d-403,728,33,33,0
BatchNorm2d-404,728,33,33,1,456
Block-405,728,33,33,0
ReLU-406,728,33,33,0
ReLU-407,728,33,33,0
Conv2d-408,728,33,33,6,552
BatchNorm2d-409,728,33,33,1,456
Conv2d-410,728,33,33,529,984
SeparableConv2d-411,728,33,33,0
BatchNorm2d-412,728,33,33,1,456
ReLU-413,728,33,33,0
ReLU-414,728,33,33,0
Conv2d-415,728,33,33,6,552
BatchNorm2d-416,728,33,33,1,456
Conv2d-417,728,33,33,529,984
SeparableConv2d-418,728,33,33,0
BatchNorm2d-419,728,33,33,1,456
ReLU-420,728,33,33,0
ReLU-421,728,33,33,0
Conv2d-422,728,33,33,6,552
BatchNorm2d-423,728,33,33,1,456
Conv2d-424,728,33,33,529,984
SeparableConv2d-425,728,33,33,0
BatchNorm2d-426,728,33,33,1,456
Block-427,728,33,33,0
ReLU-428,728,33,33,0
ReLU-429,728,33,33,0
Conv2d-430,728,33,33,6,552
BatchNorm2d-431,728,33,33,1,456
Conv2d-432,728,33,33,529,984
SeparableConv2d-433,728,33,33,0
BatchNorm2d-434,728,33,33,1,456
ReLU-435,728,33,33,0
ReLU-436,728,33,33,0
Conv2d-437,728,33,33,6,552
BatchNorm2d-438,728,33,33,1,456
Conv2d-439,1024,33,33,745,472
SeparableConv2d-440,1024,33,33,0
BatchNorm2d-441,1024,33,33,2,048
ReLU-442,1024,33,33,0
ReLU-443,1024,33,33,0
Conv2d-444,1024,33,33,9,216
BatchNorm2d-445,1024,33,33,2,048
Conv2d-446,1024,33,33,1,048,576
SeparableConv2d-447,1024,33,33,0
BatchNorm2d-448,1024,33,33,2,048
Conv2d-449,1024,33,33,745,472
BatchNorm2d-450,1024,33,33,2,048
Block-451,1024,33,33,0
ReLU-452,1024,33,33,0
Conv2d-453,1024,33,33,9,216
BatchNorm2d-454,1024,33,33,2,048
Conv2d-455,1536,33,33,1,572,864
SeparableConv2d-456,1536,33,33,0
BatchNorm2d-457,1536,33,33,3,072
ReLU-458,1536,33,33,0
Conv2d-459,1536,33,33,13,824
BatchNorm2d-460,1536,33,33,3,072
Conv2d-461,1536,33,33,2,359,296
SeparableConv2d-462,1536,33,33,0
BatchNorm2d-463,1536,33,33,3,072
ReLU-464,1536,33,33,0
Conv2d-465,1536,33,33,13,824
BatchNorm2d-466,1536,33,33,3,072
Conv2d-467,2048,33,33,3,145,728
SeparableConv2d-468,2048,33,33,0
BatchNorm2d-469,2048,33,33,4,096
ReLU-470,2048,33,33,0
AlignedXception-471,[2048,33,33,128,129,1290
Conv2d-472,256,33,33,524,288
BatchNorm2d-473,256,33,33,512
ReLU-474,256,33,33,0
_ASPPModule-475,256,33,33,0
Conv2d-476,256,33,33,4,718,592
BatchNorm2d-477,256,33,33,512
ReLU-478,256,33,33,0
_ASPPModule-479,256,33,33,0
Conv2d-480,256,33,33,4,718,592
BatchNorm2d-481,256,33,33,512
ReLU-482,256,33,33,0
_ASPPModule-483,256,33,33,0
Conv2d-484,256,33,33,4,718,592
BatchNorm2d-485,256,33,33,512
ReLU-486,256,33,33,0
_ASPPModule-487,256,33,33,0
AdaptiveAvgPool2d-488,2048,1,1,0
Conv2d-489,256,1,1,524,288
BatchNorm2d-490,256,1,1,512
ReLU-491,256,1,1,0
Conv2d-492,256,33,33,327,680
BatchNorm2d-493,256,33,33,512
ReLU-494,256,33,33,0
Dropout-495,256,33,33,0
ASPP-496,256,33,33,0
Conv2d-497,48,129,129,6,144
BatchNorm2d-498,48,129,129,96
ReLU-499,48,129,129,0
Conv2d-500,256,129,129,700,416
BatchNorm2d-501,256,129,129,512
ReLU-502,256,129,129,0
Dropout-503,256,129,129,0
Conv2d-504,256,129,129,589,824
BatchNorm2d-505,256,129,129,512
ReLU-506,256,129,129,0
Dropout-507,256,129,129,0
Conv2d-508,19,129,129,4,883
Decoder-509,19,129,129,0
DeepLab-510,19,513,513,0
